Study,Condition,Reaction,GPR,Flux,Median_Log_TPM,aceK_Median_Log_TPM
Multistress_Study,m9-EX_glc_e:7.44-EX_h2o2_e:0.5-oxidative_stress_60min,ICDHyr,PP_4012 or PP_4011,2.64493835337675,"[8.611416974, 10.27350506]",4.758051799
Multistress_Study,m9-EX_glc_e:7.44-EX_h2o2_e:0.5-oxidative_stress_60min,FUM,PP_0944 or PP_1755 or PP_0897,4.23032051215336,"[8.857847249, 6.103614033, 2.20669532]",4.758051799
Multistress_Study,m9-EX_glc_e:7.44-EX_h2o2_e:0.5-oxidative_stress_60min,CS,PP_4194,4.34581273492201,[9.667826947],4.758051799
Multistress_Study,m9-EX_glc_e:7.44-EX_h2o2_e:0.5-oxidative_stress_60min,SUCOAS,PP_4186 and PP_4185,-1.58409969776612,"[10.98790344, 10.74642171]",4.758051799
Carbon2_Study,m9-EX_glc_e:7.44,ICL,PP_4116,1.70199671613389,[5.204104665],3.963992379
Carbon2_Study,m9-EX_glc_e:7.44,ICDHyr,PP_4012 or PP_4011,2.6444813195775,"[7.79294777, 7.275189933]",3.963992379
Carbon2_Study,m9-EX_glc_e:7.44,FUM,PP_0944 or PP_1755 or PP_0897,4.23095356182634,"[6.811088969, 4.784333684, 1.840248535]",3.963992379
Carbon2_Study,m9-EX_glc_e:7.44,CS,PP_4194,4.34647803571139,[7.803907871],3.963992379
Carbon2_Study,m9-EX_glc_e:7.44,SUCOAS,PP_4186 and PP_4185,-1.58334642556979,"[9.069123337, 8.951598617]",3.963992379
Carbon2_Study,m9-EX_T4hcinnm_e:4.04,ICL,PP_4116,1.69094046493624,[8.714532257],4.352422771
Carbon2_Study,m9-EX_T4hcinnm_e:4.04,ICDHyr,PP_4012 or PP_4011,4.85151683800192,"[8.086444378, 6.721154672]",4.352422771
Carbon2_Study,m9-EX_T4hcinnm_e:4.04,FUM,PP_0944 or PP_1755 or PP_0897,10.5093947904134,"[6.302938047, 5.347575804, 2.051685256]",4.352422771
Carbon2_Study,m9-EX_T4hcinnm_e:4.04,CS,PP_4194,6.54245730293816,[8.337788926],4.352422771
Carbon2_Study,m9-EX_T4hcinnm_e:4.04,SUCOAS,PP_4186 and PP_4185,-4.18041071756999,"[8.99724336, 9.171391339]",4.352422771
Myristic_acid_Study,m9-EX_glc_e:7.44-control,ICL,PP_4116,1.70782873850682,[5.369980993],3.172447102
Myristic_acid_Study,m9-EX_glc_e:7.44-control,ICDHyr,PP_4012 or PP_4011,2.60791222171913,"[6.047917476, 8.684677205]",3.172447102
Myristic_acid_Study,m9-EX_glc_e:7.44-control,FUM,PP_0944 or PP_1755 or PP_0897,4.19877283853926,"[8.742997835, 3.830573719, 1.497385647]",3.172447102
Myristic_acid_Study,m9-EX_glc_e:7.44-control,CS,PP_4194,4.31574096022594,[10.23806768],3.172447102
Myristic_acid_Study,m9-EX_glc_e:7.44-control,SUCOAS,PP_4186 and PP_4185,-1.5426524560932,"[12.53269192, 11.52931771]",3.172447102
Myristic_acid_Study,m9-EX_ttdca_e:3.19-myristic_acid,ICL,PP_4116,13.9171808960152,[13.06344052],2.870300022
Myristic_acid_Study,m9-EX_ttdca_e:3.19-myristic_acid,ICDHyr,PP_4012 or PP_4011,-0.474922736828937,"[5.137800735, 7.380022537]",2.870300022
Myristic_acid_Study,m9-EX_ttdca_e:3.19-myristic_acid,FUM,PP_0944 or PP_1755 or PP_0897,13.3238232958584,"[8.808235185, 3.56357941, 1.765834662]",2.870300022
Myristic_acid_Study,m9-EX_ttdca_e:3.19-myristic_acid,CS,PP_4194,13.4422581591863,[10.96213613],2.870300022
Myristic_acid_Study,m9-EX_ttdca_e:3.19-myristic_acid,SUCOAS,PP_4186 and PP_4185,1.55354050833193,"[11.51249359, 10.91159367]",2.870300022
